#{"t_start": 1670620719.026545, "env_id": null}
r,l,t,num_scen
2.113703,6,997.196105,1080
1.9058387,5,1001.993299,1176
1.8678643,6,1007.118638,1008
2.2166548,5,1009.228153,300
1.8899347,4,1010.839302,120
2.1729772,5,1013.605111,252
1.9354492,5,1018.136668,735
2.1382794,6,1022.402568,900
1.8158065,4,1024.355838,126
2.2060907,4,1026.199695,168
1.9055235,5,1029.293651,504
1.8487978,6,1033.168907,1008
1.8551134,5,1036.419122,840
2.0703325,6,1041.606966,1134
1.7215327,4,1042.98206,147
1.9204803,4,1044.232147,120
1.8648207,4,1046.232283,294
2.0868855,4,1047.529247,180
2.1766775,6,1051.717017,900
2.1428673,5,1053.889038,360
2.1191857,5,1057.076742,735
2.2076292,4,1058.983119,105
1.8417928,6,1063.139645,900
2.1835275,4,1064.608492,120
1.8583127,6,1069.374434,1008
2.1106071,5,1072.251155,630
2.1179404,6,1077.814019,1134
2.1324263,6,1081.846746,810
1.7280443,5,1085.518863,1050
2.1467721,5,1089.691015,980
1.9129037,4,1091.769295,140
2.168726,5,1094.066305,324
1.9289023,4,1095.707039,126
1.8704028,6,1100.988639,1134
1.8567212,6,1105.160792,1134
1.9305574,5,1106.910905,192
1.885598,5,1109.426699,360
1.8679465,6,1114.833306,1008
2.1380475,6,1119.147027,1152
2.128061,6,1123.069164,945
2.1462278,5,1125.444323,270
2.1450238,5,1127.100691,180
1.8781272,6,1133.852399,1134
2.1499462,5,1136.508826,504
2.1734195,5,1138.74335,360
1.8987334,4,1140.618754,210
2.1752172,4,1141.915435,112
1.9276881,4,1143.743681,168
1.7362102,5,1146.134465,360
2.1746087,4,1149.19717,294
2.1259806,6,1154.353759,945
2.2091498,4,1155.900738,120
1.8754226,6,1160.10414,1008
1.8325208,5,1163.791897,900
2.1373932,6,1167.464003,900
1.8793505,4,1168.964103,120
1.9146086,4,1171.057992,112
1.9231042,5,1173.308159,336
2.11598,6,1177.855317,1080
1.7908167,5,1180.777398,600
1.8656464,6,1184.996415,972
2.2465985,4,1187.168438,105
1.8561046,5,1191.873413,882
1.853925,6,1197.373779,1134
2.2124736,4,1199.342659,126
2.1931252,5,1202.374111,540
1.935655,6,1206.155609,720
1.938909,4,1207.640249,196
2.1743798,4,1209.171441,120
2.1452098,5,1211.438557,450
1.8742833,6,1214.704387,648
2.1270742,5,1218.048357,756
2.0536902,6,1222.61116,1134
1.8507967,6,1226.486418,945
2.1764083,5,1228.283423,192
2.1926856,4,1230.486681,294
2.19644,4,1234.158802,294
2.2362194,6,1237.737163,756
1.9073416,5,1240.535644,504
2.1664035,5,1243.192076,270
2.1588044,6,1248.11427,1125
2.1074817,6,1253.256867,1134
2.1132944,6,1260.256463,1134
1.8831398,6,1264.131721,1080
1.938862,4,1266.506879,126
2.0189505,4,1268.710151,105
1.9159182,4,1270.80404,126
2.1026926,5,1276.054387,882
2.1793044,4,1277.445104,105
2.1516585,5,1280.882844,378
2.11252,6,1285.930047,972
2.1461222,5,1288.867736,540
1.8338206,6,1293.211773,960
1.8545277,6,1298.649634,1080
1.9011161,4,1300.462253,210
1.8801112,4,1302.21237,210
2.1823862,4,1303.899995,180
1.8953654,4,1305.6501,175
1.857952,5,1308.572166,315
1.9147129,4,1310.322292,105
1.9850256,6,1314.05845,648
1.8835578,5,1320.637011,980
2.1020231,6,1325.746726,1134
2.102381,5,1328.684433,756
1.9218489,5,1331.717178,360
1.8543267,6,1336.45188,1080
1.8554231,4,1338.311364,120
1.8882815,4,1339.967724,120
1.9290415,4,1341.905352,180
2.1301656,5,1345.296203,600
1.8380792,5,1349.17146,840
2.1137278,6,1354.234296,1080
2.1985557,5,1357.062608,315
1.8411733,6,1361.406646,945
2.2095118,4,1362.81299,105
1.7813213,4,1364.438103,245
1.843091,6,1368.266476,960
2.0584338,6,1373.15906,945
1.8817037,5,1377.331214,756
1.9010019,4,1380.176547,147
2.1805415,4,1381.645378,196
1.8990207,4,1383.239234,112
1.9443432,5,1386.255075,600
1.9442556,4,1388.69272,140
1.9367955,5,1390.880366,540
2.1333249,6,1395.490045,945
2.041966,6,1400.506003,1080
2.198451,4,1401.959224,140
1.9070888,6,1407.335882,1134
1.8796536,5,1410.195446,600
2.04636,5,1414.992639,1008
2.185817,4,1416.367738,120
1.9345176,4,1417.836591,144
2.1685083,4,1419.477314,343
2.1840558,4,1420.946165,105
2.1414878,6,1425.462083,864
2.190867,4,1426.977809,144
2.1409092,6,1431.339073,945
2.1186664,5,1435.136586,720
1.919746,6,1439.542742,945
2.1287372,5,1442.933594,672
1.9106523,5,1445.481848,420
1.8996891,5,1447.685131,378
1.8473492,6,1452.997978,1125
1.8546318,4,1455.076234,210
1.8503317,6,1459.248385,945
1.8604226,6,1462.592357,648
1.9255033,4,1464.139354,105
2.1102405,6,1470.436629,1008
1.9504418,6,1474.37439,810
1.8599082,5,1477.733987,875
1.8977997,4,1479.14033,105
2.1745172,4,1480.843567,210
2.174781,4,1482.374918,105
1.8785387,5,1486.875218,882
1.7834729,4,1488.140933,105
1.9176788,4,1490.079942,175
2.1044843,5,1496.753961,1176
1.8956883,5,1499.691656,720
1.8445181,5,1503.551285,900
1.9130814,6,1508.55329,1134
1.8136657,6,1513.25579,945
1.8422383,6,1517.552951,900
2.1946664,4,1519.662467,105
1.9025561,5,1522.615787,432
1.8951005,4,1524.256538,175
1.9226911,4,1526.287903,140
2.1185598,6,1530.085032,972
2.1652248,5,1532.585196,336
2.1547127,5,1534.804094,288
1.8500916,6,1539.835678,1008
2.1277726,6,1544.570369,960
1.8520844,6,1549.773836,1134
2.1394825,6,1553.525638,648
2.1240318,6,1557.869822,810
2.127054,5,1562.807643,756
2.1287913,5,1564.839036,378
2.1360257,5,1567.261062,525
2.1193686,6,1572.761427,1080
2.1254907,6,1577.261725,900
2.2020273,4,1578.949355,112
1.7992893,6,1582.590205,972
2.205672,4,1583.996554,112
1.8715968,6,1588.028063,810
1.9414206,4,1589.62192,140
2.1782846,4,1591.622059,168
2.2026353,4,1593.059649,105
2.1064706,5,1597.356821,840
2.1012654,5,1601.482082,882
1.8854263,4,1603.138442,168
1.8434682,5,1607.216837,1050
1.9055741,6,1611.625055,1080
1.8107632,5,1615.437787,700
1.8530577,6,1619.344294,900
1.9958408,4,1621.156916,120
1.7729611,4,1623.188301,252
2.0985208,6,1627.751239,1080
